Date	RELIANCE IS Equity	TCS IS Equity	BHARTI IS Equity	INFO IS Equity	HUVR IS Equity	ITC IS Equity	LT IS Equity	HDFCB IS Equity	ICICIBC IS Equity	KMB IS Equity	BAF IS Equity	SUNP IS Equity	TTAN IS Equity	SBIN IS Equity	MSIL IS Equity	MM IS Equity	AXSB IS Equity	HCLT IS Equity	UTCEM IS Equity	WPRO IS Equity	TATA IS Equity	APNT IS Equity	INDIGO IS Equity	COAL IS Equity	JSTL IS Equity	SBILIFE IS Equity	BJAUT IS Equity	DRRD IS Equity	ADSEZ IS Equity	GRASIM IS Equity	TMPV IS Equity	NIFTY Index
44272	936.2386446	3112.95	513.2634759	1387	2191.758956	199.2303378	1437.65	747.675	589.5	373.67	535.98	584.75	1472.55	368.15	7064.65	836.95	727.9	987.45	6520.25	209.825	70.44	2422.95	1695.55	139.85	422.5	888.95	3569.6	871.17	688.25	1361.686284	185.1230634	14721.3
44273	915.1711683	3036.5	517.4842312	1337.1	2180.831172	205.8997295	1428.1	745.5	578.6	366.08	537.185	574.55	1468.2	367.1	7113.75	845.65	718.75	947.75	6510.05	205.075	70.485	2404.55	1719.95	137.05	423.15	890.45	3664.5	842.55	679.65	1382.304312	185.849511	14557.85
44274	948.378066	3050.2	520.1835515	1344.45	2276.178544	210.9135984	1411.25	748.75	586.65	366.83	545.325	578.3	1465.45	371.15	7113.55	850.3	726.25	960.45	6672	205.25	73.3	2411.25	1663.6	136.3	440.55	906.7	3650.05	854.89	686.25	1405.66145	187.0299884	14744
44275	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
44276	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
44277	939.4500112	3129.65	518.269488	1370.8	2316.690102	213.798938	1400.05	734.575	573.45	364.53	538.935	591	1460.3	367	7101.25	853.05	716.2	978.75	6728	207.225	74.35	2425.7	1713.85	135.65	445.3	900.2	3664.75	870.79	721.9	1408.300956	183.4582877	14736.4
44278	950.8833875	3142.6	519.4964518	1371.55	2301.036791	210.2040886	1404.35	750.075	586.4	362.53	537.88	587.85	1495.35	372.7	7186.25	844.65	730.55	980.85	6939.1	207.75	74.115	2410.3	1773.45	135.25	441.8	898.9	3678.35	874.45	738.55	1405.66145	186.0916602	14814.75
44279	932.5717649	3121.1	513.9996542	1353.75	2282.626921	204.2915074	1369.15	739.4	567.5	356.49	527.03	585.3	1488.15	359.85	7066.2	811.4	706.4	975.65	6858.65	205.5	70.28	2443.55	1734.25	132.3	437.35	880.7	3603.55	870.1	706.85	1382.154906	178.2520799	14549.4
44280	907.1313639	3064.85	498.3926753	1333.8	2202.342169	200.1763508	1371.1	731.675	571.55	352.58	512.22	575.75	1450.85	355.2	6786.85	791.7	694.6	957.05	6666.5	199.825	72.315	2402.2	1663.55	128.1	438	864.1	3501.6	876.11	688.25	1367.31391	172.8642602	14324.9
44281	908.5890055	3066.8	512.8708475	1336.2	2281.937782	199.5141417	1398.3	745.65	578.55	354.21	518.305	587.2	1505.85	357.2	6784.45	799.35	698.2	958.55	6735.25	201.95	76.685	2505.15	1613	129.6	445.2	873.95	3600.05	881.2	703.05	1400.033824	179.4325572	14507.3
44282	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
